identifier,filename,clipId,start,end
ATMA,split_57_2020-06-03_05_38_59.wav,57,2726700,2774700
ATMA,split_58_2020-06-03_05_38_59.wav,58,2782885,2830885
ATMA,split_59_2020-06-03_05_38_59.wav,59,2800867,2848867
ATMA,split_60_2020-06-03_05_38_59.wav,60,2875458,2923458
ATMA,split_61_2020-06-03_05_38_59.wav,61,2889471,2937471
ATMA,split_62_2020-06-03_05_38_59.wav,62,2968799,3016799
ATMA,split_0_2020-06-03_05_39_25.wav,0,6461,54461
ATMA,split_1_2020-06-03_05_39_25.wav,1,40639,88639
ATMA,split_2_2020-06-03_05_39_25.wav,2,71995,119995
ATMA,split_3_2020-06-03_05_39_25.wav,3,130859,178859
ATMA,split_4_2020-06-03_05_39_25.wav,4,152827,200827
ATMA,split_5_2020-06-03_05_39_25.wav,5,187154,235154
ATMA,split_6_2020-06-03_05_39_25.wav,6,295377,343377
ATMA,split_7_2020-06-03_05_39_25.wav,7,332418,380418
ATMA,split_8_2020-06-03_05_39_25.wav,8,351375,399375
ATMA,split_9_2020-06-03_05_39_25.wav,9,385682,433682
ATMA,split_10_2020-06-03_05_39_25.wav,10,431556,479556
ATMA,split_11_2020-06-03_05_39_25.wav,11,454493,502493
ATMA,split_12_2020-06-03_05_39_25.wav,12,470323,518323
ATMA,split_13_2020-06-03_05_39_25.wav,13,489919,537919
ATMA,split_14_2020-06-03_05_39_25.wav,14,559525,607525
ATMA,split_15_2020-06-03_05_39_25.wav,15,587211,635211
ATMA,split_16_2020-06-03_05_39_25.wav,16,617380,665380
ATMA,split_17_2020-06-03_05_39_25.wav,17,648986,696986
ATMA,split_18_2020-06-03_05_39_25.wav,18,703661,751661
ATMA,split_19_2020-06-03_05_39_25.wav,19,787422,835422
ATMA,split_20_2020-06-03_05_39_25.wav,20,836850,884850
ATMA,split_21_2020-06-03_05_39_25.wav,21,847541,895541
ATMA,split_22_2020-06-03_05_39_25.wav,22,888723,936723
ATMA,split_23_2020-06-03_05_39_25.wav,23,946422,994422
ATMA,split_24_2020-06-03_05_39_25.wav,24,996734,1044734
ATMA,split_25_2020-06-03_05_39_25.wav,25,1036183,1084183
ATMA,split_26_2020-06-03_05_39_25.wav,26,1063304,1111304
ATMA,split_27_2020-06-03_05_39_25.wav,27,1094158,1142158
ATMA,split_28_2020-06-03_05_39_25.wav,28,1121140,1169140
ATMA,split_29_2020-06-03_05_39_25.wav,29,1128665,1176665
ATMA,split_30_2020-06-03_05_39_25.wav,30,1187392,1235392
ATMA,split_31_2020-06-03_05_39_25.wav,31,1202916,1250916
ATMA,split_32_2020-06-03_05_39_25.wav,32,1228720,1276720
ATMA,split_33_2020-06-03_05_39_25.wav,33,1286581,1334581
ATMA,split_34_2020-06-03_05_39_25.wav,34,1347228,1395228
ATMA,split_35_2020-06-03_05_39_25.wav,35,1403393,1451393
ATMA,split_36_2020-06-03_05_39_25.wav,36,1474143,1522143
ATMA,split_37_2020-06-03_05_39_25.wav,37,1518957,1566957
ATMA,split_38_2020-06-03_05_39_25.wav,38,1565866,1613866
ATMA,split_39_2020-06-03_05_39_25.wav,39,1573766,1621766
ATMA,split_40_2020-06-03_05_39_25.wav,40,1640716,1688716
ATMA,split_41_2020-06-03_05_39_25.wav,41,1695410,1743410
ATMA,split_42_2020-06-03_05_39_25.wav,42,1737902,1785902
ATMA,split_43_2020-06-03_05_39_25.wav,43,1764091,1812091
ATMA,split_44_2020-06-03_05_39_25.wav,44,1807552,1855552
ATMA,split_45_2020-06-03_05_39_25.wav,45,1830736,1878736
ATMA,split_46_2020-06-03_05_39_25.wav,46,1855281,1903281
ATMA,split_47_2020-06-03_05_39_25.wav,47,1877840,1925840
ATMA,split_48_2020-06-03_05_39_25.wav,48,1904478,1952478
ATMA,split_49_2020-06-03_05_39_25.wav,49,1929181,1977181
ATMA,split_50_2020-06-03_05_39_25.wav,50,1935300,1983300
ATMA,split_51_2020-06-03_05_39_25.wav,51,1975877,2023877
ATMA,split_52_2020-06-03_05_39_25.wav,52,2037866,2085866
ATMA,split_53_2020-06-03_05_39_25.wav,53,2111630,2159630
ATMA,split_54_2020-06-03_05_39_25.wav,54,2131504,2179504
ATMA,split_55_2020-06-03_05_39_25.wav,55,2161684,2209684
ATMA,split_56_2020-06-03_05_39_25.wav,56,2256015,2304015
ATMA,split_57_2020-06-03_05_39_25.wav,57,2428569,2476569
ATMA,split_58_2020-06-03_05_39_25.wav,58,2499836,2547836
ATMA,split_59_2020-06-03_05_39_25.wav,59,2541552,2589552
ATMA,split_60_2020-06-03_05_39_25.wav,60,2588665,2636665
ATMA,split_61_2020-06-03_05_39_25.wav,61,2635669,2683669
ATMA,split_62_2020-06-03_05_39_25.wav,62,2688189,2736189
